Model,Version,Info,Firmware
Fanvil X6U-V2,2.12.20,Fanvil X6U-V2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x6u-v2_2.12.20.z
Fanvil X7,2.4.12,Fanvil X7 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x7_2.4.12.z
Fanvil X7-V2,2.12.20,Fanvil X7-V2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x7-v2_2.12.20.z
Fanvil X7C,2.4.12,Fanvil X7C FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x7c_2.4.12.z
Fanvil X7C-V2,2.12.20,Fanvil X7C-V2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x7c-v2_2.12.20.z
Fanvil X7A,2.6.0.613,Fanvil X7A FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x7a_2.6.0.613_hw10.zip
Fanvil X210,2.4.12,Fanvil X210 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x210_2.4.12.z
Fanvil X210-V2,2.12.20,Fanvil X210-V2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x210-v2_2.12.20.z
Fanvil X210i-V2,2.12.20,Fanvil X210i-V2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x210i-v2_2.12.20.z
Fanvil H2S,2.14.0.7387,Fanvil H2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/h2s_2.14.0.7387.z
Fanvil H2U,2.4.12,Fanvil H2U FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/h2u_2.4.12.z
Fanvil H2U-V2,2.4.8.2,Fanvil H2U-V2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/h2u-v2_2.4.8.2.z
Fanvil H3,2.14.0.7387,Fanvil H3 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/h3_2.14.0.7387.z
Fanvil H3W,2.12.20,Fanvil H3W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/h3w_2.12.20.z
Fanvil H5,2.14.0.7387,Fanvil H5 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/h5_2.14.0.7387.z
Fanvil H5W,2.12.20,Fanvil H5W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/h5w_2.12.20.z
Fanvil Android C400,14.0.1.6.r1,Fanvil Android C400 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/C400.bin
Fanvil Android C600,14.0.1.6.r1,Fanvil Android C600 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/C600.bin
Fanvil i18S door-phone,2.8.2.7020,Fanvil i18S door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/iSeries2.8.2.7020.z
Fanvil i10S door-phone,2.4.7,Fanvil i10S door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i10S_2.4.7.z
Fanvil i10SD door-phone,2.4.7,Fanvil i10SD door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i10SD_2.4.7.z
Fanvil i10SV door-phone,2.4.7,Fanvil i10SV door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i10SV_2.4.7.z
Fanvil i16S door-phone,2.4.7,Fanvil i16S door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i16S_2.4.7.z
Fanvil i16SV door-phone,2.4.7,Fanvil i16SV door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i16SV_2.4.7.z
Fanvil i20S door-phone,2.8.2.7020,Fanvil i20S door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/iSeries2.8.2.7020.z
Fanvil i23S door-phone,2.8.2.7020,Fanvil i23S door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/iSeries2.8.2.7020.z
Fanvil i30 door-phone,2.8.2.7020,Fanvil i30 door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/iSeries2.8.2.7020.z
Fanvil i31S door-phone,2.8.2.7020,Fanvil i31S door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/iSeries2.8.2.7020.z
Fanvil iW30 SIP Speaker,2.8.2.7020,Fanvil iW30 SIP Speaker: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/iSeries2.8.2.7020.z
Fanvil PA2 Paging Gateway,2.8.2.7020,Fanvil PA2 Paging Gateway: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/iSeries2.8.2.7020.z
Fanvil PA3 Paging Gateway,2.4.7,Fanvil PA3 Paging Gateway: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/PA3_2.4.7.z
Fanvil i56A door-phone,0.2.0.103,Fanvil i56A door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i56a_0.2.0.103_hw10.zip
Fanvil i61 door-phone,2.12.44.20.1,Fanvil i61 door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i61_2.12.44.20.1.z
Fanvil i62 door-phone,2.12.44.20.1,Fanvil i62 door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i62_2.12.44.20.1.z
Fanvil i63 door-phone,2.12.44.20.1,Fanvil i63 door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i63_2.12.44.20.1.z
Fanvil i64 door-phone,2.12.44.20.1,Fanvil i64 door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i64_2.12.44.20.1.z
Fanvil V61G,2.12.18.8,Fanvil V61G FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/v6xGW_2.12.18.8.z
Fanvil V61W,2.12.18.8,Fanvil V61W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/v6xGW_2.12.18.8.z
Fanvil V62,2.12.20.1,Fanvil V62 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/v62_2.12.20.1.z
Fanvil V62G,2.12.18.8,Fanvil V62G FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/v6xGW_2.12.18.8.z
Fanvil V62W,2.12.18.8,Fanvil V62W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/v6xGW_2.12.18.8.z
Fanvil V63,2.12.17.2,Fanvil V63 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/v63_2.12.17.2.z
Fanvil V64,2.12.20,Fanvil V64 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/v64_2.12.20.z
Fanvil V65,2.12.20,Fanvil V65 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/v65_2.12.20.z
Fanvil W610W,2.14.0.19,Fanvil W610W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/w610w_2.14.0.19.z
Fanvil W611W,2.14.2.2,Fanvil W611W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/w611w_2.14.2.2.z
Htek UC802,2.0.6.6.1,Htek UC802 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw802.rom
Htek UC803,2.0.6.6.1,Htek UC803 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw803.rom
Htek UC804T,2.0.6.6.1,Htek UC804T FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw804T.rom
Htek UC804G,2.0.6.6.1,Htek UC804G FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw804G.rom
Htek UC804,2.0.6.6.1,Htek UC804 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw804.rom
Htek UC806T,2.0.6.6.1,Htek UC806T FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw806T.rom
Htek UC806G,2.0.6.6.1,Htek UC806G FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw806G.rom
Htek UC806,2.0.6.6.1,Htek UC806 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw806.rom
Htek UC840,2.0.6.6.1,Htek UC840 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw840.rom
Htek UC842,2.0.6.6.1,Htek UC842 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw842.rom
Htek UC860,2.0.6.6.1,Htek UC860 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw860.rom
Htek UC862,2.0.6.6.1,Htek UC862 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw862.rom
Htek UC902,2.0.6.6.1,Htek UC902 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw902.rom
Htek UC902S,2.0.6.6.1,Htek UC902S FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw910M.rom
Htek UC903,2.0.6.6.1,Htek UC903 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw903.rom
Htek UC912G,2.0.6.6.1,Htek UC912G FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw912G.rom
Htek UC912E,2.0.6.6.1,Htek UC912E FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw900M.rom
Htek UC912,2.0.6.6.1,Htek UC912 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw912.rom
Htek UC921,2.0.6.6.1,Htek UC921 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw910M.rom
Htek UC923,2.0.6.6.1,Htek UC923 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw923.rom
Htek UC924E,2.0.6.6.1,Htek UC924E FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw920M.rom
Htek UC924,2.0.6.6.1,Htek UC924 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw924.rom
Htek UC926E,2.0.6.6.1,Htek UC926E FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw920M.rom
Htek UC926,2.0.6.6.1,Htek UC926 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/htek/fw926.rom
Grandstream 1610 IP Phone,1.0.7.13,Grandstream GXP-1610 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gxp1600fw.bin
Grandstream 1615 IP Phone,1.0.7.13,Grandstream GXP-1615 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gxp1600fw.bin
Grandstream 1620 IP Phone,1.0.7.13,Grandstream GXP-1620 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gxp1600fw.bin
Grandstream 1625 IP Phone,1.0.7.13,Grandstream GXP-1625 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gxp1600fw.bin
Grandstream 1628 IP Phone,1.0.7.13,Grandstream GXP-1628 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gxp1600fw.bin
Grandstream 1630 IP Phone,1.0.7.13,Grandstream GXP-1630 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gxp1600fw.bin
Grandstream 1760 IP Phone,1.0.1.116,Grandstream GXP-1760 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gxp1700fw.bin
Grandstream 1760W IP Phone,1.0.1.116,Grandstream GXP-1760W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gxp1700fw.bin
Grandstream 1780 IP Phone,1.0.1.116,Grandstream GXP-1780 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gxp1700fw.bin
Grandstream 1782 IP Phone,1.0.1.116,Grandstream GXP-1782 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gxp1700fw.bin
Grandstream 2130 IP Phone,1.0.11.74,Grandstream GXP-2130 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gxp2130fw.bin
Grandstream 2135 IP Phone,1.0.11.74,Grandstream GXP-2135 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gxp2135fw.bin
Grandstream 2140 IP Phone,1.0.11.74,Grandstream GXP-2140 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gxp2140fw.bin
Grandstream 2160 IP Phone,1.0.11.74,Grandstream GXP-2160 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gxp2160fw.bin
Grandstream 2170 IP Phone,1.0.11.74,Grandstream GXP-2170 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gxp2170fw.bin
Grandstream GRP2601 IP Phone,1.0.3.63,Grandstream GRP-2601 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/grp2600fw.bin
Grandstream GRP2601P IP Phone,1.0.3.63,Grandstream GRP-2601P FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/grp2600fw.bin
Grandstream GRP2602 IP Phone,1.0.3.63,Grandstream GRP-2602 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/grp2600fw.bin
Grandstream GRP2602P IP Phone,1.0.3.63,Grandstream GRP-2602P FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/grp2600fw.bin
Grandstream GRP2602W IP Phone,1.0.3.63,Grandstream GRP-2602W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/grp2600fw.bin
Grandstream GRP2603 IP Phone,1.0.3.63,Grandstream GRP-2603 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/grp2600fw.bin
Grandstream GRP2603P IP Phone,1.0.3.63,Grandstream GRP-2603P FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/grp2600fw.bin
Grandstream GRP2604 IP Phone,1.0.3.63,Grandstream GRP-2604 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/grp2600fw.bin
Grandstream GRP2604P IP Phone,1.0.3.63,Grandstream GRP-2604P FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/grp2600fw.bin
Grandstream GRP2612 IP Phone,1.0.7.33,Grandstream GRP-2612 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/grp2610fw.bin
Grandstream GRP2612P IP Phone,1.0.7.33,Grandstream GRP-2612P FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/grp2610fw.bin
Grandstream GRP2612W IP Phone,1.0.7.33,Grandstream GRP-2612W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/grp2610fw.bin
Grandstream GRP2613 IP Phone,1.0.7.33,Grandstream GRP-2613 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/grp2610fw.bin
Grandstream GRP2614 IP Phone,1.0.7.33,Grandstream GRP-2614 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/grp2610fw.bin
Grandstream GRP2615 IP Phone,1.0.7.33,Grandstream GRP-2615 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/grp2610fw.bin
Grandstream GRP2616 IP Phone,1.0.7.33,Grandstream GRP-2616 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/grp2610fw.bin
Grandstream GSC3505 SIP Speaker,1.0.3.8,Grandstream GSC-3505 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gsc3505fw.bin
Grandstream GSC3510 SIP Speaker,1.0.1.18,Grandstream GSC-3510 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gsc3510fw.bin
Grandstream GDS3705 SIP Speaker,1.0.1.6,Grandstream GDS-3705 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gds3705fw.bin
Grandstream GDS3710 SIP Speaker,1.0.7.24,Grandstream GDS-3710 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/grandstream/gds37xx_fw.bin
Intelbras TIP120i IP Phone,4.1.3,Intelbras TIP120i FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/intelbras/TIP120_4.1.3.bin
Intelbras TIP125i IP Phone,4.1.3,Intelbras TIP125i FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/intelbras/TIP125_4.1.3.bin
Polycom VVX 101,6.4.3.5018,Polycom VVX 101: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/polycom/3111-40250-001.sip.ld
Polycom VVX 150,6.4.3.5018,Polycom VVX 150: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/polycom/3111-48810-001.sip.ld
Polycom VVX 201,6.4.3.5018,Polycom VVX 201: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/polycom/3111-40450-001.sip.ld
Polycom VVX 250,6.4.3.5018,Polycom VVX 250: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/polycom/3111-48820-001.sip.ld
Polycom VVX 301,6.4.3.5018,Polycom VVX 301: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/polycom/3111-48300-001.sip.ld
Polycom VVX 311,6.4.3.5018,Polycom VVX 311: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/polycom/3111-48350-001.sip.ld
Polycom VVX 350,6.4.3.5018,Polycom VVX 350: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/polycom/3111-48830-001.sip.ld
Polycom VVX 401,6.4.3.5018,Polycom VVX 401: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/polycom/3111-48400-001.sip.ld
Polycom VVX 411,6.4.3.5018,Polycom VVX 411: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/polycom/3111-48450-001.sip.ld
Polycom VVX 450,6.4.3.5018,Polycom VVX 450: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/polycom/3111-48840-001.sip.ld
Polycom VVX 501,6.4.3.5018,Polycom VVX 501: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/polycom/3111-48500-001.sip.ld
Polycom VVX 601,6.4.3.5018,Polycom VVX 601: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/polycom/3111-48600-001.sip.ld
